"'Calanus finmarchicus'"	"'Centropages typicus'"	"'Temora longicornis'"	"'Metridia lucens'"	"'Centropages hamatus'"	"'Paraeuchaeta norvegica'"	"'Harpacticoida '"	"'Oithona '"	"'Metridia'"	"'Calanus'"	"'Acartia '"	"'Clausocalanus'"	"'Paracalanus'"	"'Paracalanus or Pseudocalanus '"	"'Pseudocalanus'"
1172	0	4520	0	0	0	0	0	0	0	0	0	0	25613	9040
2511	0	1507	0	0	0	0	1507	0	4520	0	0	0	9040	9040
2511	0	0	0	0	0	0	1507	0	3013	0	0	0	9040	9040
67	0	0	0	0	0	0	0	0	1507	0	0	0	3013	0
201	0	0	0	0	0	0	0	0	112997	0	0	0	9040	9040
1172	0	3013	0	0	0	0	0	0	3013	0	0	0	9040	4520
2511	0	0	0	0	0	0	25613	0	9040	0	0	0	1507	0
2511	0	0	0	0	0	0	9040	0	9040	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	25613	0	0	0	0	0
201	0	0	0	0	0	0	0	0	1507	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
5356	0	0	0	0	0	0	9040	0	9040	0	0	0	3013	0
10713	4520	0	0	0	0	0	4520	1507	9040	0	0	0	3013	0
67	9040	0	0	0	0	0	9040	0	9040	0	0	0	0	0
1172	9040	0	0	0	0	0	1507	0	1507	0	0	0	0	0
0	25613	0	0	0	0	0	4520	0	0	0	0	0	0	0
67	52732	0	0	0	0	0	0	0	0	0	0	0	0	0
100	25613	0	0	0	0	0	1507	0	0	0	0	0	3013	0
33	3013	0	0	0	0	0	3013	0	9040	0	0	0	0	0
2511	1507	0	0	0	0	0	9040	0	9040	3013	0	0	0	0
201	1507	0	0	0	0	0	4520	0	0	0	0	0	25613	9040
2511	1507	0	100	0	0	0	0	0	1507	0	0	0	0	0
1172	9040	0	201	0	33	0	1507	0	4520	0	0	0	0	0
0	9040	0	0	0	0	0	0	0	0	0	0	0	0	0
0	25613	0	0	4520	0	0	3013	0	0	0	0	0	1507	0
569	9040	0	0	1507	0	0	0	0	1507	0	0	0	3013	0
569	9040	1507	0	0	0	0	3013	0	1507	0	0	0	1507	0
33	1507	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1507	0	0	0	0	0	0	0	0	0	0	0	9040	0
569	25613	4520	0	0	0	0	3013	0	1507	0	0	0	52732	9040
569	1507	0	201	0	0	0	0	0	0	0	0	0	25613	9040
201	4520	0	201	0	1507	0	1507	0	4520	0	0	0	25613	1507
569	9040	0	201	0	0	0	3013	0	4520	0	0	0	9040	3013
201	3013	0	201	0	33	0	0	0	4520	0	0	0	4520	1507
100	3013	0	201	0	0	0	0	0	0	1507	0	0	1507	0
201	3013	0	100	0	0	0	1507	0	0	0	0	0	0	0
100	9040	0	33	0	0	0	0	0	0	3013	0	0	9040	3013
67	9040	0	0	0	0	0	3013	0	1507	1507	0	0	9040	0
67	9040	0	0	0	0	0	0	0	0	0	0	0	3013	0
1172	25613	1507	0	0	0	0	0	0	1507	9040	0	0	25613	25613
201	3013	1507	0	0	0	0	1507	0	0	0	0	0	9040	0
33	9040	0	100	0	0	0	0	0	0	0	0	0	9040	0
201	9040	0	0	0	0	0	0	0	0	0	0	0	4520	4520
201	9040	0	0	0	0	0	1507	0	1507	0	0	0	9040	1507
201	9040	0	0	0	0	0	9040	0	0	0	0	0	9040	0
201	9040	0	0	0	0	0	3013	0	1507	0	0	0	25613	1507
0	9040	0	0	0	33	0	0	0	0	0	0	0	9040	0
201	9040	0	0	0	0	0	1507	0	1507	0	0	0	3013	0
201	9040	0	0	0	0	0	1507	0	1507	0	0	0	3013	0
33	3013	0	0	0	0	0	0	0	0	0	0	0	3013	0
33	9040	0	0	0	0	0	0	0	0	0	0	0	9040	1507
0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1507	0	0	0	0	0	9040	0
0	1507	0	0	0	0	0	0	0	0	0	0	0	3013	0
1507	3013	0	0	0	0	0	4520	0	0	0	0	0	1507	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3013	0
0	0	0	0	0	0	0	0	0	0	0	0	0	4520	0
0	1507	0	67	0	0	0	3013	0	0	0	0	0	9040	3013
3013	1507	0	0	0	67	0	0	0	0	0	0	0	1507	0
4520	3013	0	67	0	3013	0	0	0	0	0	0	0	1507	0
